cpu,memory,latency,error_rate,incident
95,60,220,10,cpu_spike
70,65,700,60,dependency_failure
40,45,900,35,db_latency
50,95,180,15,memory_leak
50,95,180,15,memory_leak
95,60,220,10,cpu_spike
30,40,550,85,service_crash
50,95,180,15,memory_leak
50,95,180,15,memory_leak
40,45,900,35,db_latency
30,40,550,85,service_crash
50,95,180,15,memory_leak
70,65,700,60,dependency_failure
70,65,700,60,dependency_failure
95,60,220,10,cpu_spike
70,65,700,60,dependency_failure
95,60,220,10,cpu_spike
70,65,700,60,dependency_failure
70,65,700,60,dependency_failure
30,40,550,85,service_crash
50,95,180,15,memory_leak
95,60,220,10,cpu_spike
30,40,550,85,service_crash
95,60,220,10,cpu_spike
70,65,700,60,dependency_failure
95,60,220,10,cpu_spike
30,40,550,85,service_crash
95,60,220,10,cpu_spike
30,40,550,85,service_crash
30,40,550,85,service_crash
30,40,550,85,service_crash
70,65,700,60,dependency_failure
40,45,900,35,db_latency
95,60,220,10,cpu_spike
70,65,700,60,dependency_failure
40,45,900,35,db_latency
50,95,180,15,memory_leak
30,40,550,85,service_crash
50,95,180,15,memory_leak
50,95,180,15,memory_leak
40,45,900,35,db_latency
50,95,180,15,memory_leak
70,65,700,60,dependency_failure
70,65,700,60,dependency_failure
30,40,550,85,service_crash
95,60,220,10,cpu_spike
40,45,900,35,db_latency
30,40,550,85,service_crash
50,95,180,15,memory_leak
50,95,180,15,memory_leak
50,95,180,15,memory_leak
40,45,900,35,db_latency
95,60,220,10,cpu_spike
70,65,700,60,dependency_failure
50,95,180,15,memory_leak
40,45,900,35,db_latency
30,40,550,85,service_crash
95,60,220,10,cpu_spike
50,95,180,15,memory_leak
50,95,180,15,memory_leak
30,40,550,85,service_crash
30,40,550,85,service_crash
40,45,900,35,db_latency
70,65,700,60,dependency_failure
30,40,550,85,service_crash
40,45,900,35,db_latency
70,65,700,60,dependency_failure
70,65,700,60,dependency_failure
30,40,550,85,service_crash
70,65,700,60,dependency_failure
95,60,220,10,cpu_spike
70,65,700,60,dependency_failure
50,95,180,15,memory_leak
95,60,220,10,cpu_spike
95,60,220,10,cpu_spike
30,40,550,85,service_crash
50,95,180,15,memory_leak
30,40,550,85,service_crash
50,95,180,15,memory_leak
95,60,220,10,cpu_spike
40,45,900,35,db_latency
40,45,900,35,db_latency
70,65,700,60,dependency_failure
95,60,220,10,cpu_spike
30,40,550,85,service_crash
40,45,900,35,db_latency
50,95,180,15,memory_leak
50,95,180,15,memory_leak
50,95,180,15,memory_leak
50,95,180,15,memory_leak
50,95,180,15,memory_leak
30,40,550,85,service_crash
40,45,900,35,db_latency
70,65,700,60,dependency_failure
40,45,900,35,db_latency
95,60,220,10,cpu_spike
95,60,220,10,cpu_spike
70,65,700,60,dependency_failure
50,95,180,15,memory_leak
95,60,220,10,cpu_spike
30,40,550,85,service_crash
30,40,550,85,service_crash
70,65,700,60,dependency_failure
95,60,220,10,cpu_spike
95,60,220,10,cpu_spike
95,60,220,10,cpu_spike
30,40,550,85,service_crash
40,45,900,35,db_latency
70,65,700,60,dependency_failure
40,45,900,35,db_latency
40,45,900,35,db_latency
40,45,900,35,db_latency
40,45,900,35,db_latency
95,60,220,10,cpu_spike
70,65,700,60,dependency_failure
30,40,550,85,service_crash
70,65,700,60,dependency_failure
40,45,900,35,db_latency
40,45,900,35,db_latency
50,95,180,15,memory_leak
70,65,700,60,dependency_failure
50,95,180,15,memory_leak
70,65,700,60,dependency_failure
70,65,700,60,dependency_failure
30,40,550,85,service_crash
30,40,550,85,service_crash
70,65,700,60,dependency_failure
70,65,700,60,dependency_failure
50,95,180,15,memory_leak
40,45,900,35,db_latency
30,40,550,85,service_crash
70,65,700,60,dependency_failure
40,45,900,35,db_latency
50,95,180,15,memory_leak
50,95,180,15,memory_leak
30,40,550,85,service_crash
95,60,220,10,cpu_spike
70,65,700,60,dependency_failure
40,45,900,35,db_latency
50,95,180,15,memory_leak
40,45,900,35,db_latency
50,95,180,15,memory_leak
50,95,180,15,memory_leak
70,65,700,60,dependency_failure
70,65,700,60,dependency_failure
40,45,900,35,db_latency
30,40,550,85,service_crash
95,60,220,10,cpu_spike
70,65,700,60,dependency_failure
30,40,550,85,service_crash
95,60,220,10,cpu_spike
95,60,220,10,cpu_spike
30,40,550,85,service_crash
50,95,180,15,memory_leak
95,60,220,10,cpu_spike
70,65,700,60,dependency_failure
50,95,180,15,memory_leak
50,95,180,15,memory_leak
70,65,700,60,dependency_failure
50,95,180,15,memory_leak
30,40,550,85,service_crash
50,95,180,15,memory_leak
40,45,900,35,db_latency
30,40,550,85,service_crash
95,60,220,10,cpu_spike
95,60,220,10,cpu_spike
50,95,180,15,memory_leak
70,65,700,60,dependency_failure
30,40,550,85,service_crash
95,60,220,10,cpu_spike
30,40,550,85,service_crash
50,95,180,15,memory_leak
70,65,700,60,dependency_failure
30,40,550,85,service_crash
30,40,550,85,service_crash
95,60,220,10,cpu_spike
50,95,180,15,memory_leak
40,45,900,35,db_latency
30,40,550,85,service_crash
70,65,700,60,dependency_failure
30,40,550,85,service_crash
50,95,180,15,memory_leak
40,45,900,35,db_latency
40,45,900,35,db_latency
40,45,900,35,db_latency
70,65,700,60,dependency_failure
40,45,900,35,db_latency
70,65,700,60,dependency_failure
70,65,700,60,dependency_failure
30,40,550,85,service_crash
95,60,220,10,cpu_spike
95,60,220,10,cpu_spike
70,65,700,60,dependency_failure
30,40,550,85,service_crash
70,65,700,60,dependency_failure
95,60,220,10,cpu_spike
40,45,900,35,db_latency
40,45,900,35,db_latency
50,95,180,15,memory_leak
50,95,180,15,memory_leak
70,65,700,60,dependency_failure
